Name,State,City,Image
Elephanta Caves,Maharastra,Mumbai,elephanta_caves_maharastra_mumbai.jpg
Imagicaa,Maharastra,Lonavala,imagicaa_maharastra_lonavala.jpg
Bangalore Palace,Karnataka,Bangalore,bangalore_palace_karnataka_bangalore.jpg
Lalbagh Botanical Garden,Karnataka,Bangalore,lalbagh_botanical_garden_karnataka_bangalore.jpg
Cubbon Park,Karnataka,Bangalore,cubbon_park_karnataka_bangalore.jpg
Vidhana Soudha,Karnataka,Bangalore,vidhana_soudha_karnataka_bangalore.jpg
ISKCON Temple Bangalore,Karnataka,Bangalore,iskcon_temple_bangalore_karnataka_bangalore.jpg
Charminar,Telangana,Hyderabad,charminar_telangana_hyderabad.jpg
Golconda Fort,Telangana,Hyderabad,golconda_fort_telangana_hyderabad.jpg
Hussain Sagar Lake,Telangana,Hyderabad,hussain_sagar_lake_telangana_hyderabad.jpg
Ramoji Film City,Telangana,Hyderabad,ramoji_film_city_telangana_hyderabad.jpg
Salar Jung Museum,Telangana,Hyderabad,salar_jung_museum_telangana_hyderabad.jpg
Qutb Shahi Tombs,Telangana,Hyderabad,qutb_shahi_tombs_telangana_hyderabad.jpg
Birla Mandir,Telangana,Hyderabad,birla_mandir_telangana_hyderabad.jpg
Chowmahalla Palace,Telangana,Hyderabad,chowmahalla_palace_telangana_hyderabad.jpg
Nehru Zoological Park,Telangana,Hyderabad,nehru_zoological_park_telangana_hyderabad.jpg
Lumbini Park,Telangana,Hyderabad,lumbini_park_telangana_hyderabad.jpg
Victoria Memorial,West Bengal,Kolkata,victoria_memorial_west_bengal_kolkata.jpg
Howrah Bridge,West Bengal,Kolkata,howrah_bridge_west_bengal_kolkata.jpg
Indian Museum,West Bengal,Kolkata,indian_museum_west_bengal_kolkata.jpg
Dakshineswar Kali Temple,West Bengal,Kolkata,dakshineswar_kali_temple_west_bengal_kolkata.jpg
Kalighat Kali Temple,West Bengal,Kolkata,kalighat_kali_temple_west_bengal_kolkata.jpg
Eden Gardens,West Bengal,Kolkata,eden_gardens_west_bengal_kolkata.jpg
Alipore Zoological Gardens,West Bengal,Kolkata,alipore_zoological_gardens_west_bengal_kolkata.jpg
Science City Kolkata,West Bengal,Kolkata,science_city_kolkata_west_bengal_kolkata.jpg
Belur Math,West Bengal,Kolkata,belur_math_west_bengal_kolkata.jpg
Marble Palace,West Bengal,Kolkata,marble_palace_west_bengal_kolkata.jpg
Calangute Beach,Goa,Goa,calangute_beach_goa_goa.jpg
Basilica of Bom Jesus,Goa,Goa,basilica_of_bom_jesus_goa_goa.jpg
Fort Aguada,Goa,Goa,fort_aguada_goa_goa.jpg
Dudhsagar Falls,Goa,Goa,dudhsagar_falls_goa_goa.jpg
Anjuna Beach,Goa,Goa,anjuna_beach_goa_goa.jpg
Chapora Fort,Goa,Goa,chapora_fort_goa_goa.jpg
Se Cathedral,Goa,Goa,se_cathedral_goa_goa.jpg
Baga Beach,Goa,Goa,baga_beach_goa_goa.jpg
Arambol Beach,Goa,Goa,arambol_beach_goa_goa.jpg
Palolem Beach,Goa,Goa,palolem_beach_goa_goa.jpg
Colva Beach,Goa,Goa,colva_beach_goa_goa.jpg
Miramar Beach,Goa,Goa,miramar_beach_goa_goa.jpg
Aguada Beach,Goa,Goa,aguada_beach_goa_goa.jpg
Dr. Salim Ali Bird Santuary,Goa,Goa,dr_salim_ali_bird_santuary_goa_goa.jpg
Sabarmati Ashram,Gujarat,Ahmedabad,sabarmati_ashram_gujarat_ahmedabad.jpg
Dwarkadhish Temple,Gujarat,Dwarka,dwarkadhish_temple_gujarat_dwarka.jpg
Gir National Park,Gujarat,Junagadh,gir_national_park_gujarat_junagadh.jpg
White Desert,Gujarat,Bhuj,white_desert_gujarat_bhuj.jpg
Laxmi Vilas Palace,Gujarat,Vadodara,laxmi_vilas_palace_gujarat_vadodara.jpg
Somnath Temple,Gujarat,Somnath,somnath_temple_gujarat_somnath.jpg
Rann Utsav,Gujarat,Rann of Kutch,rann_utsav_gujarat_rann_of_kutch.jpg
Statue of Unity,Gujarat,Kevadia,statue_of_unity_gujarat_kevadia.jpg
Dandi Kutir,Gujarat,Gandhinagar,dandi_kutir_gujarat_gandhinagar.jpg
Sabarmati Riverfront,Gujarat,Ahmedabad,sabarmati_riverfront_gujarat_ahmedabad.jpg
Manek Chowk,Gujarat,Ahmedabad,manek_chowk_gujarat_ahmedabad.jpg
Kankaria Lake,Gujarat,Ahmedabad,kankaria_lake_gujarat_ahmedabad.jpg
Science City,Gujarat,Ahmedabad,science_city_gujarat_ahmedabad.jpg
Hawa Mahal,Rajasthan,Jaipur,hawa_mahal_rajasthan_jaipur.jpg
City Palace,Rajasthan,Udaipur,city_palace_rajasthan_udaipur.jpg
Jaisalmer Fort,Rajasthan,Jaisalmer,jaisalmer_fort_rajasthan_jaisalmer.jpg
Ranthambore National Park,Rajasthan,Sawai Madhopur,ranthambore_national_park_rajasthan_sawai_madhopur.jpg
Pushkar Lake,Rajasthan,Pushkar,pushkar_lake_rajasthan_pushkar.jpg
Ajmer Sharif Dargah,Rajasthan,Ajmer,ajmer_sharif_dargah_rajasthan_ajmer.jpg
Mehrangarh Fort,Rajasthan,Jodhpur,mehrangarh_fort_rajasthan_jodhpur.jpg
Chittorgarh Fort,Rajasthan,Chittorgarh,chittorgarh_fort_rajasthan_chittorgarh.jpg
Dilwara Temples,Rajasthan,Mount Abu,dilwara_temples_rajasthan_mount_abu.jpg
Junagarh Fort,Rajasthan,Bikaner,junagarh_fort_rajasthan_bikaner.jpg
Amber Fort,Rajasthan,Jaipur,amber_fort_rajasthan_jaipur.jpg
Jaigarh Fort,Rajasthan,Jaipur,jaigarh_fort_rajasthan_jaipur.jpg
Lake Pichola,Rajasthan,Udaipur,lake_pichola_rajasthan_udaipur.jpg
Golden Temple (Harmandir Sahib),Punjab,Amritsar,golden_temple_harmandir_sahib_punjab_amritsar.jpg
Jallianwala Bagh,Punjab,Amritsar,jallianwala_bagh_punjab_amritsar.jpg
Wagah Border,Punjab,Amritsar,wagah_border_punjab_amritsar.jpg
Rock Garden,Punjab,Chandigarh,rock_garden_punjab_chandigarh.jpg
Alappuzha Beach,Kerala,Alappuzha,alappuzha_beach_kerala_alappuzha.jpg
Munnar Tea Gardens,Kerala,Munnar,munnar_tea_gardens_kerala_munnar.jpg
Fort Kochi,Kerala,Kochi,fort_kochi_kerala_kochi.jpg
Padmanabhaswamy Temple,Kerala,Thiruvananthapuram,padmanabhaswamy_temple_kerala_thiruvananthapuram.jpg
Kozhikode Beach,Kerala,Kozhikode,kozhikode_beach_kerala_kozhikode.jpg
Wayanad Wildlife Sanctuary,Kerala,Wayanad,wayanad_wildlife_sanctuary_kerala_wayanad.jpg
Periyar National Park,Kerala,Thekkady,periyar_national_park_kerala_thekkady.jpg
Kumarakom Bird Sanctuary,Kerala,Kumarakom,kumarakom_bird_sanctuary_kerala_kumarakom.jpg
Varkala Beach,Kerala,Varkala,varkala_beach_kerala_varkala.jpg
Bekal Fort,Kerala,Bekal,bekal_fort_kerala_bekal.jpg
Kovalam Beach,Kerala,Kovalam,kovalam_beach_kerala_kovalam.jpg
St. Angelo Fort,Kerala,Kannur,st_angelo_fort_kerala_kannur.jpg
Seethargundu Viewpoint,Kerala,Nelliyampathy,seethargundu_viewpoint_kerala_nelliyampathy.jpg
Kerala Folklore Museum,Kerala,Kochi,kerala_folklore_museum_kerala_kochi.jpg
Wonderla Amusement Park,Kerala,Kochi,wonderla_amusement_park_kerala_kochi.jpg
Mysore Palace,Karnataka,Mysore,mysore_palace_karnataka_mysore.jpg
Hampi Archaeological Ruins,Karnataka,Hampi,hampi_archaeological_ruins_karnataka_hampi.jpg
Abbey Falls,Karnataka,Coorg,abbey_falls_karnataka_coorg.jpg
Om Beach,Karnataka,Gokarna,om_beach_karnataka_gokarna.jpg
Mullayanagiri,Karnataka,Chikmagalur,mullayanagiri_karnataka_chikmagalur.jpg
Badami Cave Temples,Karnataka,Badami,badami_cave_temples_karnataka_badami.jpg
Jog Falls,Karnataka,Shivamogga,jog_falls_karnataka_shivamogga.jpg
Panambur Beach,Karnataka,Mangalore,panambur_beach_karnataka_mangalore.jpg
Murudeshwar Temple,Karnataka,Murudeshwar,murudeshwar_temple_karnataka_murudeshwar.jpg
Gol Gumbaz,Karnataka,Bijapur,gol_gumbaz_karnataka_bijapur.jpg
Bandipur National Park,Karnataka,Bandipur,bandipur_national_park_karnataka_bandipur.jpg
Halebidu Hoysaleswara Temple,Karnataka,Halebidu,halebidu_hoysaleswara_temple_karnataka_halebidu.jpg
Shaniwar Wada,Maharastra,Pune,shaniwar_wada_maharastra_pune.jpg
Ajanta Caves,Maharastra,Aurangabad,ajanta_caves_maharastra_aurangabad.jpg
Sula Vineyards,Maharastra,Nashik,sula_vineyards_maharastra_nashik.jpg
Sai Baba Temple,Maharastra,Shirdi,sai_baba_temple_maharastra_shirdi.jpg
Alibaug Beach,Maharastra,Alibaug,alibaug_beach_maharastra_alibaug.jpg
Ganapatipule Temple,Maharastra,Ratnagiri,ganapatipule_temple_maharastra_ratnagiri.jpg
Deekshabhoomi,Maharastra,Nagpur,deekshabhoomi_maharastra_nagpur.jpg
Mahalakshmi Temple,Maharastra,Kolhapur,mahalakshmi_temple_maharastra_kolhapur.jpg
Karla Caves,Maharastra,Lonavala,karla_caves_maharastra_lonavala.jpg
Tarkarli Beach,Maharashtra,Tarkarli,tarkarli_beach_maharashtra_tarkarli.jpg
Kaas Plateau,Maharashtra,Satara,kaas_plateau_maharashtra_satara.jpg
Echo Point,Maharashtra,Matheran,echo_point_maharashtra_matheran.jpg
Ellora Caves,Maharashtra,Ajanta,ellora_caves_maharashtra_ajanta.jpg
Khajuraho Group of Monuments,Madhya Pradesh,Khajuraho,khajuraho_group_of_monuments_madhya_pradesh_khajuraho.jpg
Sanchi Stupa,Madhya Pradesh,Bhopal,sanchi_stupa_madhya_pradesh_bhopal.jpg
Rajwada Palace,Madhya Pradesh,Indore,rajwada_palace_madhya_pradesh_indore.jpg
Gwalior Fort,Madhya Pradesh,Gwalior,gwalior_fort_madhya_pradesh_gwalior.jpg
Mahakaleshwar Jyotirlinga,Madhya Pradesh,Ujjain,mahakaleshwar_jyotirlinga_madhya_pradesh_ujjain.jpg
Dhuandhar Falls,Madhya Pradesh,Jabalpur,dhuandhar_falls_madhya_pradesh_jabalpur.jpg
Bee Falls,Madhya Pradesh,Pachmarhi,bee_falls_madhya_pradesh_pachmarhi.jpg
Kanha National Park,Madhya Pradesh,Kanha,kanha_national_park_madhya_pradesh_kanha.jpg
Bandhavgarh National Park,Madhya Pradesh,Bandhavgarh,bandhavgarh_national_park_madhya_pradesh_bandhavgarh.jpg
Orchha Fort,Madhya Pradesh,Orchha,orchha_fort_madhya_pradesh_orchha.jpg
Jahaz Mahal,Madhya Pradesh,Mandu,jahaz_mahal_madhya_pradesh_mandu.jpg
Bhimbetka Rock Shelters,Madhya Pradesh,Bhimbetka,bhimbetka_rock_shelters_madhya_pradesh_bhimbetka.jpg
Narmada Udgam Temple,Madhya Pradesh,Amarkantak,narmada_udgam_temple_madhya_pradesh_amarkantak.jpg
Chitrakoot Falls,Madhya Pradesh,Chitrakoot,chitrakoot_falls_madhya_pradesh_chitrakoot.jpg
The Ridge,Himachal Pradesh,Shimla,the_ridge_himachal_pradesh_shimla.jpg
Solang Valley,Himachal Pradesh,Manali,solang_valley_himachal_pradesh_manali.jpg
Dalai Lama Temple,Himachal Pradesh,dalhousie,dalai_lama_temple_himachal_pradesh_dalhousie.jpg
Khajjiar Lake,Himachal Pradesh,Dalhousie,khajjiar_lake_himachal_pradesh_dalhousie.jpg
Key Monastery,Himachal Pradesh,Spiti Valley,key_monastery_himachal_pradesh_spiti_valley.jpg
Great Himalayan National Park,Himachal Pradesh,Kullu,great_himalayan_national_park_himachal_pradesh_kullu.jpg
Chamera Lake,Himachal Pradesh,Chamba,chamera_lake_himachal_pradesh_chamba.jpg
Sangla Valley,Himachal Pradesh,Kinnaur,sangla_valley_himachal_pradesh_kinnaur.jpg
Kangra Fort,Himachal Pradesh,Kangra,kangra_fort_himachal_pradesh_kangra.jpg
Tea Gardens,Himachal Pradesh,Palampur,tea_gardens_himachal_pradesh_palampur.jpg
Prashar Lake,Himachal Pradesh,Mandi,prashar_lake_himachal_pradesh_mandi.jpg
Paragliding Site,Himachal Pradesh,Bir Billing,paragliding_site_himachal_pradesh_bir_billing.jpg
Triund Trek,Himachal Pradesh,McLeod Ganj,triund_trek_himachal_pradesh_mcleod_ganj.jpg
Manikaran Sahib,Himachal Pradesh,Manikaran,manikaran_sahib_himachal_pradesh_manikaran.jpg
Hatu Peak,Himachal Pradesh,Narkanda,hatu_peak_himachal_pradesh_narkanda.jpg
Barot Valley,Himachal Pradesh,Barot,barot_valley_himachal_pradesh_barot.jpg
Serolsar Lake,Himachal Pradesh,Shoja,serolsar_lake_himachal_pradesh_shoja.jpg
Kufri Fun World,Himachal Pradesh,Kufri,kufri_fun_world_himachal_pradesh_kufri.jpg
Naini Lake,Uttarakhand,Nainital,naini_lake_uttarakhand_nainital.jpg
Laxman Jhula,Uttarakhand,Rishikesh,laxman_jhula_uttarakhand_rishikesh.jpg
Har Ki Pauri,Uttarakhand,Haridwar,har_ki_pauri_uttarakhand_haridwar.jpg
Robber's Cave,Uttarakhand,Dehradun,robber_s_cave_uttarakhand_dehradun.jpg
Kempty Falls,Uttarakhand,Mussoorie,kempty_falls_uttarakhand_mussoorie.jpg
Auli Ski Resort,Uttarakhand,Auli,auli_ski_resort_uttarakhand_auli.jpg
Badrinath Temple,Uttarakhand,Badrinath,badrinath_temple_uttarakhand_badrinath.jpg
Binsar Wildlife Sanctuary,Uttarakhand,Almora,binsar_wildlife_sanctuary_uttarakhand_almora.jpg
Chaubatia Gardens,Uttarakhand,Ranikhet,chaubatia_gardens_uttarakhand_ranikhet.jpg
Jim Corbett National Park,Uttarakhand,Jim Corbett,jim_corbett_national_park_uttarakhand_jim_corbett.jpg
Gangotri Temple,Uttarakhand,Uttarkashi,gangotri_temple_uttarakhand_uttarkashi.jpg
Tungnath Temple,Uttarakhand,Chopta,tungnath_temple_uttarakhand_chopta.jpg
Valley of Flowers,Uttarakhand,Joshimath,valley_of_flowers_uttarakhand_joshimath.jpg
Taj Mahal,Uttar Pradesh,Agra,taj_mahal_uttar_pradesh_agra.jpg
Kashi Vishwanath Temple,Uttar Pradesh,Varanasi,kashi_vishwanath_temple_uttar_pradesh_varanasi.jpg
Bara Imambara,Uttar Pradesh,Lucknow,bara_imambara_uttar_pradesh_lucknow.jpg
Krishna Janmabhoomi,Uttar Pradesh,Mathura,krishna_janmabhoomi_uttar_pradesh_mathura.jpg
Ram Janmabhoomi,Uttar Pradesh,Ayodhya,ram_janmabhoomi_uttar_pradesh_ayodhya.jpg
Banke Bihari Temple,Uttar Pradesh,Vrindavan,banke_bihari_temple_uttar_pradesh_vrindavan.jpg
Triveni Sangam,Uttar Pradesh,Allahabad,triveni_sangam_uttar_pradesh_allahabad.jpg
Jhansi Fort,Uttar Pradesh,Jhansi,jhansi_fort_uttar_pradesh_jhansi.jpg
Dhamek Stupa,Uttar Pradesh,Sarnath,dhamek_stupa_uttar_pradesh_sarnath.jpg
Buland Darwaza,Uttar Pradesh,Fatehpur Sikri,buland_darwaza_uttar_pradesh_fatehpur_sikri.jpg
Okhla Bird Sanctuary,Uttar Pradesh,Noida,okhla_bird_sanctuary_uttar_pradesh_noida.jpg
Aligarh Fort,Uttar Pradesh,Aligarh,aligarh_fort_uttar_pradesh_aligarh.jpg
Augarnath Temple,Uttar Pradesh,Meerut,augarnath_temple_uttar_pradesh_meerut.jpg
Allen Forest Zoo,Uttar Pradesh,Kanpur,allen_forest_zoo_uttar_pradesh_kanpur.jpg
Dal Lake,Jammu and Kashmir,Srinagar,dal_lake_jammu_and_kashmir_srinagar.jpg
Pangong Tso,Ladakh,Leh,pangong_tso_ladakh_leh.jpg
Betaab Valley,Jammu and Kashmir,Pahalgam,betaab_valley_jammu_and_kashmir_pahalgam.jpg
Vaishno Devi,Jammu and Kashmir,Jammu,vaishno_devi_jammu_and_kashmir_jammu.jpg
Patnitop Height,Jammu and Kashmir,Udhampur,patnitop_height_jammu_and_kashmir_udhampur.jpg
Amarnath Cave,Jammu and Kashmir,Anantnag,amarnath_cave_jammu_and_kashmir_anantnag.jpg
Thiksey Monastery,Ladakh,Leh,thiksey_monastery_ladakh_leh.jpg
Nubra Valley,Ladakh,Nubra Valley,nubra_valley_ladakh_nubra_valley.jpg
Kargil War Memorial,Ladakh,Kargil,kargil_war_memorial_ladakh_kargil.jpg
Diskit Monastery,Ladakh,Diskit,diskit_monastery_ladakh_diskit.jpg
Kishtwar National Park,Jammu and Kashmir,Kishtwar,kishtwar_national_park_jammu_and_kashmir_kishtwar.jpg
Hemis National Park,Ladakh,Hemis,hemis_national_park_ladakh_hemis.jpg
Dras War Memorial,Ladakh,Dras,dras_war_memorial_ladakh_dras.jpg
Magnetic Hill,Ladakh,Leh,magnetic_hill_ladakh_leh.jpg
Khardung La Pass,Ladakh,Leh,khardung_la_pass_ladakh_leh.jpg
Prem Mandir,Uttar Pradesh,Vrindavan,prem_mandir_uttar_pradesh_vrindavan.jpg
Kirti Mandir,Uttar Pradesh,Porbandar,kirti_mandir_uttar_pradesh_porbandar.jpg
Nand Gaon,Uttar Pradesh,Mathura,nand_gaon_uttar_pradesh_mathura.jpg
Barsana Mandir,Uttar Pradesh,Mathura,barsana_mandir_uttar_pradesh_mathura.jpg
Tiger Hill,West Bengal,Darjeeling,tiger_hill_west_bengal_darjeeling.jpg
Jaldapara National Park,West Bengal,Siliguri,jaldapara_national_park_west_bengal_siliguri.jpg
Sundarbans National Park,West Bengal,Sundarbans,sundarbans_national_park_west_bengal_sundarbans.jpg
Digha Beach,West Bengal,Digha,digha_beach_west_bengal_digha.jpg
Hazarduari Palace,West Bengal,Murshidabad,hazarduari_palace_west_bengal_murshidabad.jpg
Kankalitala Temple,West Bengal,Bolpur,kankalitala_temple_west_bengal_bolpur.jpg
Hangseswari Temple,West Bengal,Hooghly,hangseswari_temple_west_bengal_hooghly.jpg
Gorumara National Park,West Bengal,Jalpaiguri,gorumara_national_park_west_bengal_jalpaiguri.jpg
Cooch Behar Palace,West Bengal,Cooch Behar,cooch_behar_palace_west_bengal_cooch_behar.jpg
Ayodhya Hills,West Bengal,Purulia,ayodhya_hills_west_bengal_purulia.jpg
Jagannath Temple,Odisha,Puri,jagannath_temple_odisha_puri.jpg
Sun Temple,Odisha,Konark,sun_temple_odisha_konark.jpg
Lingaraj Temple,Odisha,Bhubaneswar,lingaraj_temple_odisha_bhubaneswar.jpg
Khandadhar Waterfall,Odisha,Rourkela,khandadhar_waterfall_odisha_rourkela.jpg
Barabati Fort,Odisha,Cuttack,barabati_fort_odisha_cuttack.jpg
Hirakud Dam,Odisha,Sambalpur,hirakud_dam_odisha_sambalpur.jpg
Chilika Lake,Odisha,Chilika,chilika_lake_odisha_chilika.jpg
Tara Tarini Temple,Odisha,Berhampur,tara_tarini_temple_odisha_berhampur.jpg
Badaghagara Waterfall,Odisha,Keonjhar,badaghagara_waterfall_odisha_keonjhar.jpg
Chandipur Beach,Odisha,Balasore,chandipur_beach_odisha_balasore.jpg
Sanaghagara Waterfall,Odisha,Kendujhar,sanaghagara_waterfall_odisha_kendujhar.jpg
Marina Beach,Tamil Nadu,Chennai,marina_beach_tamil_nadu_chennai.jpg
Meenakshi Amman Temple,Tamil Nadu,Madurai,meenakshi_amman_temple_tamil_nadu_madurai.jpg
Ramanathaswamy Temple,Tamil Nadu,Rameswaram,ramanathaswamy_temple_tamil_nadu_rameswaram.jpg
Vivekananda Rock Memorial,Tamil Nadu,Kanyakumari,vivekananda_rock_memorial_tamil_nadu_kanyakumari.jpg
Ooty Lake,Tamil Nadu,Ooty,ooty_lake_tamil_nadu_ooty.jpg
Marudamalai Temple,Tamil Nadu,Coimbatore,marudamalai_temple_tamil_nadu_coimbatore.jpg
Kodaikanal Lake,Tamil Nadu,Kodaikanal,kodaikanal_lake_tamil_nadu_kodaikanal.jpg
Brihadeeswarar Temple,Tamil Nadu,Thanjavur,brihadeeswarar_temple_tamil_nadu_thanjavur.jpg
Shore Temple,Tamil Nadu,Mahabalipuram,shore_temple_tamil_nadu_mahabalipuram.jpg
Yercaud Lake,Tamil Nadu,Yercaud,yercaud_lake_tamil_nadu_yercaud.jpg
Nellaiappar Temple,Tamil Nadu,Tirunelveli,nellaiappar_temple_tamil_nadu_tirunelveli.jpg
Nataraja Temple,Tamil Nadu,Chidambaram,nataraja_temple_tamil_nadu_chidambaram.jpg
Kanaka Durga Temple,Andhra Pradesh,Vijayawada,kanaka_durga_temple_andhra_pradesh_vijayawada.jpg
Rishikonda Beach,Andhra Pradesh,Visakhapatnam,rishikonda_beach_andhra_pradesh_visakhapatnam.jpg
Mallikarjuna Swamy Temple,Andhra Pradesh,Srisailam,mallikarjuna_swamy_temple_andhra_pradesh_srisailam.jpg
Papikondalu,Andhra Pradesh,Rajahmundry,papikondalu_andhra_pradesh_rajahmundry.jpg
Lepakshi,Andhra Pradesh,Anantapur,lepakshi_andhra_pradesh_anantapur.jpg
Belum Caves,Andhra Pradesh,Kurnool,belum_caves_andhra_pradesh_kurnool.jpg
Amaravathi Temple,Andhra Pradesh,Amravati,amaravathi_temple_andhra_pradesh_amravati.jpg
Uppalapadu Bird Sanctuary,Andhra Pradesh,Guntur,uppalapadu_bird_sanctuary_andhra_pradesh_guntur.jpg
Gandikota Fort,Andhra Pradesh,Kadapa,gandikota_fort_andhra_pradesh_kadapa.jpg
Prasanthi Nilayam,Andhra Pradesh,Puttaparthi,prasanthi_nilayam_andhra_pradesh_puttaparthi.jpg
Simhachalam Temple,Andhra Pradesh,Vizianagaram,simhachalam_temple_andhra_pradesh_vizianagaram.jpg
Kailasagiri,Andhra Pradesh,Visakhapatnam,kailasagiri_andhra_pradesh_visakhapatnam.jpg
Submarine Museum,Andhra Pradesh,Visakhapatnam,submarine_museum_andhra_pradesh_visakhapatnam.jpg
Borra Caves,Andhra Pradesh,Visakhapatnam,borra_caves_andhra_pradesh_visakhapatnam.jpg
War Memorial,Andhra Pradesh,Visakhapatnam,war_memorial_andhra_pradesh_visakhapatnam.jpg
Indira Gandhi Zoological Park,Andhra Pradesh,Visakhapatnam,indira_gandhi_zoological_park_andhra_pradesh_visakhapatnam.jpg
Matsyadarshini Aquarium,Andhra Pradesh,Visakhapatnam,matsyadarshini_aquarium_andhra_pradesh_visakhapatnam.jpg
Visakha Museum,Andhra Pradesh,Visakhapatnam,visakha_museum_andhra_pradesh_visakhapatnam.jpg
Nathula Pass,Sikkim,Gangtok,nathula_pass_sikkim_gangtok.jpg
Pemayangtse Monastery,Sikkim,Pelling,pemayangtse_monastery_sikkim_pelling.jpg
Char Dham,Sikkim,Namchi,char_dham_sikkim_namchi.jpg
Rumtek Monastery,Sikkim,Gangtok,rumtek_monastery_sikkim_gangtok.jpg
Buddha Park,Sikkim,Ravangla,buddha_park_sikkim_ravangla.jpg
Baba Harbhajan Singh Temple,Sikkim,Gangtok,baba_harbhajan_singh_temple_sikkim_gangtok.jpg
Tsomgo Lake,Sikkim,Gangtok,tsomgo_lake_sikkim_gangtok.jpg
Kamakhya Temple,Assam,Guwahati,kamakhya_temple_assam_guwahati.jpg
Kaziranga National Park,Assam,Kaziranga,kaziranga_national_park_assam_kaziranga.jpg
Umananda Island,Assam,Guwahati,umananda_island_assam_guwahati.jpg
Sivasagar Sivadol,Assam,Sivasagar,sivasagar_sivadol_assam_sivasagar.jpg
Majuli Island,Assam,Majuli,majuli_island_assam_majuli.jpg
Manas National Park,Assam,Manas,manas_national_park_assam_manas.jpg
Hayagriva Madhava Temple,Assam,Hajo,hayagriva_madhava_temple_assam_hajo.jpg
Pobitora Wildlife Sanctuary,Assam,Guwahati,pobitora_wildlife_sanctuary_assam_guwahati.jpg
Tawang Monastery,Arunachal Pradesh,Tawang,tawang_monastery_arunachal_pradesh_tawang.jpg
Ujjayanta Palace,Tripura,Agartala,ujjayanta_palace_tripura_agartala.jpg
Dumboor Lake,Tripura,Dumboor,dumboor_lake_tripura_dumboor.jpg
Unakoti Rock Carvings,Tripura,Unakoti,unakoti_rock_carvings_tripura_unakoti.jpg
Chitrakote Falls,Chhattisgarh,Bastar,chitrakote_falls_chhattisgarh_bastar.jpg
Dzükou Valley,Nagaland,Dzükou Valley,dz_kou_valley_nagaland_dz_kou_valley.jpg
Promenade Beach,Puducherry,Puducherry,promenade_beach_puducherry_puducherry.jpg
Auroville,Puducherry,Auroville,auroville_puducherry_auroville.jpg
Paradise Beach,Puducherry,Puducherry,paradise_beach_puducherry_puducherry.jpg
Cellular Jail,Andaman and Nicobar Islands,Port Blair,cellular_jail_andaman_and_nicobar_islands_port_blair.jpg
Radhanagar Beach,Andaman and Nicobar Islands,Havelock Island,radhanagar_beach_andaman_and_nicobar_islands_havelock_island.jpg
Bharatpur Beach,Andaman and Nicobar Islands,Neil Island,bharatpur_beach_andaman_and_nicobar_islands_neil_island.jpg
Limestone Caves,Andaman and Nicobar Islands,Baratang Island,limestone_caves_andaman_and_nicobar_islands_baratang_island.jpg
Naida Caves,Daman and Diu,Diu,naida_caves_daman_and_diu_diu.jpg
Diu Fort,Daman and Diu,Diu,diu_fort_daman_and_diu_diu.jpg
Baba Baidyanath Temple,Jharkhand,Deoghar,baba_baidyanath_temple_jharkhand_deoghar.jpg
Pahari Mandir,Jharkhand,Ranchi,pahari_mandir_jharkhand_ranchi.jpg
